x,y,z
-43.255806,42.781807,-227.990204
-43.423878,51.798668,-227.596008
-40.707329,51.816040,-228.375015
-40.467075,42.770058,-228.803223
-49.631523,35.296738,-220.818817
-48.699593,11.204258,-213.843506
-57.867146,24.411274,-209.393524
-56.406681,31.355284,-212.888794
-54.648270,35.593529,-216.460724
-58.239471,18.805759,-207.171799
-57.062416,8.792920,-204.328217
-55.645569,40.950359,-216.194672
-55.377201,47.291580,-216.402496
-27.759586,2.857897,-226.876587
-27.132278,-3.134157,-224.544952
-28.556225,-4.243355,-222.691040
-29.233114,2.437832,-225.517136
-32.137833,-6.779579,-212.042480
-26.507574,-7.844116,-216.980865
-37.559368,-20.398445,-189.118011
-42.580124,-21.330818,-186.651199
-39.162430,-6.643013,-206.254150
-48.302200,-5.566366,-200.828430
-49.062389,-20.897076,-183.724167
-60.022392,-11.931686,-181.623001
-59.538673,-0.237766,-193.977356
-57.359180,-20.129341,-177.448792
-37.937172,-27.594505,-175.907837
-42.428082,-32.477730,-174.092484
-49.760216,-42.169476,-167.553162
-47.167313,-34.637505,-174.276627
-52.839684,-34.284241,-174.968842
-55.147614,-40.644424,-171.403183
-63.236183,-38.998337,-171.197479
-60.822842,-34.369625,-173.251678
-60.456070,-27.514130,-174.162582
-70.932739,55.782291,-184.470230
-69.353088,81.262337,-173.355545
